Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Complement,-4.097752e-01,-1.747478e+00,0.000000e+00,1.253591e-03,2.014099e-03,79/198,20.30%,GP9;APOA4;FCN1;IL6;F10;ACTN2;CPM;SPOCK2;SERPINA1;CTSH;OLR1;CD36;NOTCH4;CD40LG;C2;CD55;DOCK4;F8;KLKB1;CTSS;ANG;C1QA;GP1BA;GNGT2;CR1;SERPING1;HPCAL4;C3;ZEB1;APOC1;CASP5;FCER1G;ITGAM;LTA4H;PIK3R5;PIK3CG;CR2;TMPRSS6;CTSO;PDGFB;DUSP6;WAS;MAFF;C1QC;DPP4;GNG2;CLU;SH2B3;LCP2;IRF1;CSRP1;C4BPB;LIPA;EHD1;PRKCD;CASP10;GCA;LGALS3;ZFPM2;CTSD;GNAI2;DOCK9;DOCK10;FYN;CPQ;JAK2;ANXA5;CA2;ERAP2;TIMP2;PLG;PLEK;CASP1;PPP2CB;PHEX;CD59;TNFAIP3;LRP1;LYN
prerank,TGF-beta Signaling,-4.770739e-01,-1.710354e+00,0.000000e+00,2.193784e-03,4.028197e-03,19/54,21.77%,LEFTY2;SMAD6;ENG;BMP2;SPTBN1;PPP1R15A;SMAD7;THBS1;LTBP2;ID2;BMPR2;JUNB;ID3;TJP1;KLF10;RHOA;SKI;APC;CDKN1C
prerank,KRAS Signaling Dn,5.094842e-01,1.682933e+00,0.000000e+00,1.518078e-03,1.300000e-02,66/191,16.69%,CALML5;NGB;AKR1B10;SPRR3;TLX1;KRT5;KRT13;LGALS7;PAX3;BRDT;PKP1;TFAP2B;KRT15;LYPD3;KLK8;CALCB;TFF2;SHOX2;TENM2;GDNF;ALOX12B;COL2A1;SERPINB2;ATP4A;YBX2;PROP1;TEX15;GPR19;CHRNG;DLK2;SOX10;NUDT11;KCNQ2;FSHB;SPTBN2;AMBN;IGFBP2;WNT16;SLC30A3;CELSR2;TG;SLC12A3;CPA2;IRS4;KRT1;SNCB;EDN2;GP2;TNNI3;CLDN8;CLDN16;MYH7;RYR1;KCNN1;CKM;EDAR;ENTPD7;CHST2;HTR1D;OXT;FGFR3;ARHGDIG;CDKAL1;GAMT;ABCG4;KLK7
prerank,Myogenesis,-3.802899e-01,-1.645410e+00,0.000000e+00,5.850091e-03,1.107754e-02,75/197,21.35%,TNNC1;DES;CAV3;MYH1;FHL1;MYH2;FXYD1;GPX3;VIPR1;CASQ2;SGCA;MYOZ1;CFD;LDB3;ACTN2;DAPK2;SORBS1;MYL1;GADD45B;SOD3;AK1;CACNG1;HRC;PYGM;CD36;SLN;FABP3;MYL3;PTGIS;HSPB2;HSPB8;MEF2C;SGCG;COX7A1;MYH11;MYL4;CKMT2;FGF2;TNNI2;GJA5;HBEGF;ADCY9;APLNR;LAMA2;TCAP;CLU;MRAS;MYO1C;ACTC1;MYOM2;ACSL1;IGFBP7;PPP1R3C;SORBS3;CSRP3;CACNA1H;TNNC2;MYLK;ITGA7;SPTAN1;FKBP1B;MYBPC3;OCEL1;TAGLN;FOXO4;CTF1;SGCD;IGF1;CDKN1A;PSEN2;APOD;MYOM1;MYH4;CNN3;LSP1
prerank,Spermatogenesis,5.107235e-01,1.637164e+00,1.126126e-03,2.919380e-03,3.000000e-02,44/127,14.60%,DMRT1;NAA11;PGK2;TTK;SYCP1;NEK2;KIF2C;THEG;CCNB2;GAD1;NCAPH;YBX2;RPL39L;CDKN3;BUB1;TKTL1;AURKA;RFC4;CDK1;GAPDHS;IL12RB2;EZH2;MTNR1A;POMC;ART3;HOXB1;ACRV1;ADAM2;DMC1;SLC2A5;DDX4;TNNI3;TUBA3C;HSPA4L;LDHC;CLGN;DBF4;SCG5;TOPBP1;DPEP3;GSTM3;CNIH2;SNAP91;DDX25
prerank,Glycolysis,4.900827e-01,1.626425e+00,0.000000e+00,3.002791e-03,3.600000e-02,99/198,29.37%,GPR87;ARTN;CENPA;DEPDC1;KIF20A;EFNA3;AK4;TKTL1;EGLN3;AURKA;HMMR;MIOX;CDK1;GCLC;GAPDHS;DSC2;HS6ST2;B3GNT3;BIK;LCT;GPC1;IGFBP3;PPFIA4;TPBG;PKP2;SOX9;TGFA;DPYSL4;ABCB6;MIF;FKBP4;LDHC;B4GALT4;SLC25A10;PLOD2;STMN1;PFKP;SDC1;PC;FAM162A;EGFR;ME1;TPI1;CHST2;COL5A1;LDHA;SPAG4;STC2;DDIT4;PKM;B4GALT2;PGM2;TXN;G6PD;KDELR3;ENO1;GYS2;ALDOA;PLOD1;CHPF;SLC25A13;VCAN;CHST6;PSMC4;PGAM1;ADORA2B;ENO2;P4HA1;PYGL;XYLT2;PGK1;HK2;GYS1;NASP;GOT2;COPB2;MDH2;TALDO1;PGAM2;NSDHL;PAXIP1;SLC16A3;FUT8;SRD5A3;PDK3;CHST4;TGFBI;TPST1;KIF2A;MDH1;MET;TSTA3;POLR3K;NANP;RPE;HSPA5;GOT1;EXT1;PPIA
prerank,IL-2/STAT5 Signaling,-3.649936e-01,-1.604802e+00,0.000000e+00,7.897623e-03,1.711984e-02,84/195,23.44%,AGER;IL1RL1;SLC39A8;SHE;IL13;SELP;HOPX;GATA1;IL3RA;GADD45B;ITIH5;GLIPR2;MAP6;MUC1;SPRY4;BMP2;GPR65;CAPN3;TGM2;PTH1R;DRC1;IRF8;ABCB1;RHOB;CD83;CISH;KLF6;NFKBIZ;TLR7;CSF1;CSF2;GBP4;LIF;MAP3K8;FGL2;PTGER2;SH3BGRL2;CCND3;IL18R1;MAFF;CD48;SOCS2;IL10RA;NRP1;CST7;SERPINB6;TNFRSF1B;SELL;BMPR2;IL10;CD86;MYO1C;ICOS;CD81;BATF3;PLIN2;CD79B;PLAGL1;AHNAK;RGS16;CCR4;CA2;GALM;EMP1;IKZF4;LRRC8C;SYT11;PRKCH;CTSZ;IFNGR1;BATF;RHOH;SNX14;FLT3LG;CDKN1C;DENND5A;WLS;GABARAPL1;TNFRSF8;CDC42SE2;IFITM3;IL2RB;IL4R;RNH1
prerank,Adipogenesis,-3.495357e-01,-1.536513e+00,0.000000e+00,1.555592e-02,3.826788e-02,60/192,26.91%,CYP4B1;FABP4;RETN;ACADL;LPL;GPX3;CD302;ANGPT1;SORBS1;ITIH5;SULT1A1;LTC4S;SPARCL1;FZD4;MGLL;CD36;CAT;LIFR;ALDH2;ENPP2;HSPB8;PPARG;C3;ORM1;MRAP;STOM;LAMA4;RMDN3;ACAA2;PLIN2;ADCY6;CD151;MYLK;ITGA7;STAT5A;APLP2;PGM1;OMD;PHLDB1;IFNGR1;ACADS;SLC19A1;GPAM;SLC27A1;DHRS7B;NKIRAS1;EPHX2;QDPR;DNAJB9;SCP2;MGST3;RETSAT;PHYH;PFKFB3;PTGER3;DHRS7;PPP1R15B;TOB1;RNF11;DNAJC15
prerank,Coagulation,-3.567037e-01,-1.534098e+00,0.000000e+00,1.425960e-02,3.826788e-02,46/137,12.83%,GP9;CPB2;F11;C8B;A2M;PF4;LEFTY2;VWF;RGN;CFD;F10;HMGCS2;SERPINA1;APOA1;CTSH;OLR1;ACOX2;C2;FGG;TIMP3;F8;RAPGEF3;KLKB1;HPN;C8A;ANG;C1QA;GP1BA;CRIP2;SERPING1;CTSE;C3;APOC1;CFI;APOC2;LTA4H;TMPRSS6;CTSO;THBS1;PDGFB;PROS1;DUSP6;MAFF;MASP2;DPP4;CLU
prerank,Pancreas Beta Cells,5.299197e-01,1.455362e+00,3.800786e-02,3.225915e-02,3.560000e-01,13/39,12.32%,PDX1;IAPP;NKX2-2;DCX;INSM1;ISL1;SYT13;NKX6-1;PAX6;PKLR;PCSK1;CHGA;SLC2A2
