Hugo_Symbol,T_Paired,P_Paired
HIST3H2A,-6.493395990431009,4.0436066512253233e-08
LXN,3.973482320516323,0.0002322367302316615
CNKSR2,9.159024392190302,3.420577429814983e-12
GSDMD,5.2703746829771,3.0417211551976194e-06
AKR1C1,-4.730171725567042,1.938574686660843e-05
C3orf62,8.396019782478298,4.7685593457208355e-11
CRISPLD2,4.83121694963112,1.3766122667116936e-05
SLC33A1,-7.609699484673376,7.584453673521964e-10
GLI1,-2.378963018545726,0.021301798351319134
STK17B,9.757950010920055,4.5118333201235695e-13
RP5-966M1.6,7.387690710249421,1.6678484321488424e-09
HAGHL,-2.991416470665105,0.0043376191026288135
MAS1L,4.5002230523097895,4.1894612096649376e-05
CDC37L1,8.994823383016264,6.001366612357002e-12
KRT10,-3.6810204912467173,0.0005784370532957751
CYHR1,-4.1379062081663625,0.00013726998677642221
TNFAIP8L2,13.773541106612019,1.795963782588152e-18
PFDN2,-9.903333469901414,2.7764211853232273e-13
TCP1,-7.646086131112803,6.667076623632453e-10
ALG9,6.2669772293952,9.061554520749951e-08
PMEL,-2.5316735815142617,0.014609367703784059
CYBA,6.297885016155053,8.117188180763711e-08
GINS1,-11.447005055703976,1.879765423781361e-15
GPX3,14.993614754357495,6.13706747456438e-20
IPO9,-5.6137637875067075,9.158591946660027e-07
SHKBP1,-2.1375322722070815,0.03756992993083356
ARHGAP40,-2.2551212026969116,0.028627129181617306
ENO3,-2.4809180186695454,0.016585508438194327
COX19,-4.407379653558207,5.697856636748291e-05
LMF1,9.35542286471539,1.7526988675838512e-12
RDH14,2.2241684637450057,0.030776565745962315
GDE1,5.029237121114093,6.99739127021176e-06
LSM14B,-6.792894964591419,1.388845894811739e-08
TLE2,11.729282537658452,7.791703854012944e-16
EIF4EBP3,8.703810582724957,1.6363249931656494e-11
LRP2BP,13.593922367228034,2.9979331839434105e-18
PELO,9.064534236506903,4.7255034640369924e-12
CDIPT,3.2875521876248595,0.0018738848609945826
C19orf44,4.220865548459503,0.0001049491941469644
PABPN1,-6.13028315754256,1.4736335555302038e-07
ZWINT,-9.813664608407123,3.744689136752807e-13
DYNLL1,-5.484037712583819,1.4437366536517687e-06
NRXN3,3.133716559828947,0.0029131240683504525
FYTTD1,-6.57854688362348,2.984349258484695e-08
CAPRIN1,-6.256523060774887,9.405155883650847e-08
AOC3,18.28584507274596,1.5638062769642546e-23
KIFC3,6.4598167049890405,4.558022443221413e-08
DOCK11,14.659945590292258,1.518022737206929e-19
TMEM231,5.08706420736502,5.735071317094531e-06
DNAH17,-3.7223366460883494,0.0005094300357369973
DCHS1,6.09442483444728,1.6738872544423413e-07
ZFYVE19,-4.339839261458058,7.116258468459776e-05
HS3ST4,-2.8225766992265657,0.0068652243169981435
CDH9,-2.455846291845689,0.01764834580876023
SLC5A8,5.523481113323278,1.2574044536538683e-06
WDR53,-9.058623186919045,4.822157568106048e-12
NLN,-9.042124098781498,5.10262746176015e-12
