Hugo_Symbol,Log2FC,T_Paired,P_Paired,T_Independent,P_Independent,Is_DEG_Paired,Is_DEG_Indep,Alignment_Category
MAS1L,-3.3664453583746847,4.5002230523097895,4.1894612096649376e-05,4.3914540069504575,2.8485422890515235e-05,True,True,Both (Concordant)
CDC37L1,-0.6590017079817848,8.994823383016264,6.001366612357002e-12,9.808193603575576,3.1566722886924803e-16,True,True,Both (Concordant)
KRT10,2.173071278730965,-3.6810204912467173,0.0005784370532957751,-3.6875723564306697,0.00037161690349540877,True,True,Both (Concordant)
AEN,0.05101462098544009,-0.45239746511546464,0.6529792523797832,-0.4387286725981173,0.6618238617557772,False,False,Neither
CYHR1,0.3344656149520525,-4.1379062081663625,0.00013726998677642221,-3.7712138218656146,0.00027796006033760866,False,False,Neither
VWA1,-0.2756901468235963,0.899839818051361,0.372606652561333,0.9242191005612307,0.35764236729681453,False,False,Neither
EXOSC9,0.09829985151049173,-1.3347757511804934,0.18811884631854892,-1.2489061135625799,0.21467447604794995,False,False,Neither
TNFAIP8L2,-1.8260190545336394,13.773541106612019,1.795963782588152e-18,12.96756624196462,5.504189276736636e-23,True,True,Both (Concordant)
PFDN2,0.9640385963586432,-9.903333469901414,2.7764211853232273e-13,-9.878125507798234,2.225416254484458e-16,True,True,Both (Concordant)
TCP1,0.8889246417734659,-7.646086131112803,6.667076623632453e-10,-7.722357890469918,9.875245155161017e-12,True,True,Both (Concordant)
ALG9,-0.33860270055520486,6.2669772293952,9.061554520749951e-08,6.00414567728433,3.260870772945659e-08,False,False,Neither
RPS15A,-0.054292707259789345,0.4984104190785625,0.6204247342604798,0.5223623160936325,0.6025969151731221,False,False,Neither
PMEL,0.7306744348864566,-2.5316735815142617,0.014609367703784059,-2.506169495559649,0.013851285748684746,True,True,Both (Concordant)
SFMBT1,0.11662004724420308,-1.1361632211033703,0.2614146438927071,-1.17508052984728,0.2428096710632924,False,False,Neither
CYBA,-0.7553170373566791,6.297885016155053,8.117188180763711e-08,6.265542200102702,9.946354758768586e-09,True,True,Both (Concordant)
GINS1,3.9496990693273824,-11.447005055703976,1.879765423781361e-15,-11.449713789212147,8.963318926337125e-20,True,True,Both (Concordant)
GPX3,-3.5170091023140397,14.993614754357495,6.13706747456438e-20,14.409404964182201,6.061127467375295e-26,True,True,Both (Concordant)
IPO9,0.7405546991704635,-5.6137637875067075,9.158591946660027e-07,-5.670239421084413,1.4405242881437886e-07,True,True,Both (Concordant)
SHKBP1,0.26252117207149905,-2.1375322722070815,0.03756992993083356,-2.1573657444033847,0.03342189388011664,False,False,Neither
ARHGAP40,0.8178449663514696,-2.2551212026969116,0.028627129181617306,-2.1924224270649395,0.030715930978081927,True,True,Both (Concordant)
ENO3,0.39274154846623566,-2.4809180186695454,0.016585508438194327,-2.2713195582788153,0.0253149060363774,False,False,Neither
COX19,0.38374608763089707,-4.407379653558207,5.697856636748291e-05,-3.630016569224072,0.00045270182220705967,False,False,Neither
LMF1,-0.7617250015002464,9.35542286471539,1.7526988675838512e-12,8.3517010792621,4.480945087723702e-13,True,True,Both (Concordant)
S100P,2.2169742663401637,-1.2926879395115733,0.2021814226470246,-1.3000719977038726,0.19662570943273477,False,False,Neither
RDH14,-0.12912650595195407,2.2241684637450057,0.030776565745962315,1.9555166074717325,0.05337008256293342,False,False,Neither
GDE1,-0.3072081489916185,5.029237121114093,6.99739127021176e-06,4.488246883475348,1.9594310132532596e-05,False,False,Neither
LSM14B,0.8036143157728033,-6.792894964591419,1.388845894811739e-08,-7.164795025998796,1.4635923163568068e-10,True,True,Both (Concordant)
TLE2,-1.6957871647363403,11.729282537658452,7.791703854012944e-16,12.726704020750455,1.7550742489759944e-22,True,True,Both (Concordant)
ACOT8,-0.018936559500239505,0.2284437414657513,0.820251989127656,0.20937232053262728,0.8345922170491307,False,False,Neither
EIF4EBP3,-0.8926992104794684,8.703810582724957,1.6363249931656494e-11,8.037205915628412,2.113076071433917e-12,True,True,Both (Concordant)
LRP2BP,-2.8573467512868356,13.593922367228034,2.9979331839434105e-18,13.02943047259912,4.090305983498807e-23,True,True,Both (Concordant)
PELO,-0.5932043975333022,9.064534236506903,4.7255034640369924e-12,8.321573386975423,5.200749073208371e-13,True,True,Both (Concordant)
CDIPT,-0.20836324042099794,3.2875521876248595,0.0018738848609945826,3.1399816977678214,0.002233465317978269,False,False,Neither
C19orf44,-0.3645132957383245,4.220865548459503,0.0001049491941469644,3.562934778475524,0.0005683358010918787,False,False,Neither
PABPN1,0.4045508801197122,-6.13028315754256,1.4736335555302038e-07,-5.7008999445170705,1.258795161918026e-07,False,False,Neither
NFKBIB,0.3927316495289356,-1.966190560090639,0.05495521115243011,-1.9306556795199161,0.05641595595959279,False,False,Neither
CELF6,0.9264075937013674,-0.5698612946549991,0.5713753997943966,-0.5789238153110815,0.5639688403394871,False,False,Neither
ZWINT,3.0674593949505087,-9.813664608407123,3.744689136752807e-13,-9.839669893328677,2.6970837938980085e-16,True,True,Both (Concordant)
DYNLL1,0.3992357165437447,-5.484037712583819,1.4437366536517687e-06,-5.542958369672526,2.5124421288907834e-07,False,False,Neither
NRXN3,-0.561290675991427,3.133716559828947,0.0029131240683504525,2.981287052869117,0.003620723100731826,False,False,Neither
FYTTD1,0.8402292161594969,-6.57854688362348,2.984349258484695e-08,-6.442456159814585,4.404377026554779e-09,True,True,Both (Concordant)
CAPRIN1,0.4385471836022819,-6.256523060774887,9.405155883650847e-08,-6.166525992301199,1.5632351898449687e-08,False,False,Neither
AOC3,-3.3106299465671936,18.28584507274596,1.5638062769642546e-23,18.413017705844673,1.3921474535478687e-33,True,True,Both (Concordant)
KIFC3,-0.7571317602492041,6.4598167049890405,4.558022443221413e-08,5.9698139308009495,3.805367747641188e-08,True,True,Both (Concordant)
