Hugo_Symbol,T_Independent,P_Independent
HIST3H2A,-6.485549680803331,3.607140106656372e-09
LXN,4.111953541468976,8.164043644485837e-05
CNKSR2,9.206806465378303,6.374651779974794e-15
SCML1,2.0092018878359537,0.04726589843891225
GSDMD,4.815519869045883,5.344288657720395e-06
AKR1C1,-4.719748649890638,7.857877107856758e-06
C3orf62,6.673633794973965,1.5007152753534552e-09
CRISPLD2,4.063896179691588,9.742753347580828e-05
DOCK5,2.0143255160542752,0.04671578879072957
SLC33A1,-7.337561317643699,6.382057732213548e-11
GLI1,-2.293079946406912,0.023980398417391264
STK17B,8.328562129488738,5.024134511809247e-13
RP5-966M1.6,6.644088065747279,1.723355128050759e-09
HAGHL,-2.6605809139090146,0.009115074132559447
MAS1L,4.3914540069504575,2.8485422890515235e-05
CDC37L1,9.808193603575576,3.1566722886924803e-16
KRT10,-3.6875723564306697,0.00037161690349540877
CYHR1,-3.7712138218656146,0.00027796006033760866
TNFAIP8L2,12.96756624196462,5.504189276736636e-23
PFDN2,-9.878125507798234,2.225416254484458e-16
TCP1,-7.722357890469918,9.875245155161017e-12
ALG9,6.00414567728433,3.260870772945659e-08
PMEL,-2.506169495559649,0.013851285748684746
CYBA,6.265542200102702,9.946354758768586e-09
GINS1,-11.449713789212147,8.963318926337125e-20
GPX3,14.409404964182201,6.061127467375295e-26
IPO9,-5.670239421084413,1.4405242881437886e-07
SHKBP1,-2.1573657444033847,0.03342189388011664
ARHGAP40,-2.1924224270649395,0.030715930978081927
ENO3,-2.2713195582788153,0.0253149060363774
COX19,-3.630016569224072,0.00045270182220705967
LMF1,8.3517010792621,4.480945087723702e-13
GDE1,4.488246883475348,1.9594310132532596e-05
LSM14B,-7.164795025998796,1.4635923163568068e-10
TLE2,12.726704020750455,1.7550742489759944e-22
EIF4EBP3,8.037205915628412,2.113076071433917e-12
LRP2BP,13.02943047259912,4.090305983498807e-23
PELO,8.321573386975423,5.200749073208371e-13
CDIPT,3.1399816977678214,0.002233465317978269
C19orf44,3.562934778475524,0.0005683358010918787
PABPN1,-5.7008999445170705,1.258795161918026e-07
ZWINT,-9.839669893328677,2.6970837938980085e-16
DYNLL1,-5.542958369672526,2.5124421288907834e-07
NRXN3,2.981287052869117,0.003620723100731826
FYTTD1,-6.442456159814585,4.404377026554779e-09
CAPRIN1,-6.166525992301199,1.5632351898449687e-08
AOC3,18.413017705844673,1.3921474535478687e-33
KIFC3,5.9698139308009495,3.805367747641188e-08
DOCK11,15.717595155416685,1.5501205105957345e-28
TMEM231,4.9826013855078175,2.700653530016661e-06
DNAH17,-3.7552237543842395,0.00029392223990907585
DCHS1,6.40624255223789,5.207132128207257e-09
ZFYVE19,-4.216701133013474,5.5291013453358154e-05
HS3ST4,-2.8267142193962784,0.0057011108605932335
CDH9,-2.443036653287584,0.016354051959388487
SLC5A8,5.0376766987562265,2.1507201556081764e-06
WDR53,-9.132277288710798,9.24742047198777e-15
NLN,-8.938272044341419,2.4333076094341283e-14
TBC1D31,-9.16085675121047,8.018158103491453e-15
